vertex_id,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,0.0007580000889636933,0.01204672176976444,0.0007580000889636933,0.0007580000889636933,0.0,0.04279299115019758,0.14237724169740815,8.849326151991582e-05,1.0
1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,0.0003358969572398147,0.013578660412880498,0.0003358969572398147,0.0003358969572398147,0.0,0.023766114849685133,0.14229837356753394,4.1812350495053234e-05,0.4320235232639703
3,0.00020846990429817616,0.6373283934099474,0.00020846990429817616,0.00020846990429817616,0.0,0.028404855003836132,0.12412800163026318,2.5871018476993553e-05,0.26406693700358075
4,3.6473528911536746e-06,0.003186561125427928,3.6473528911536746e-06,3.6473528911536746e-06,0.0,0.018203513549951734,0.07139758704160293,3.703437084614689e-07,0.22662271671156314
5,0.0009582274271657522,0.13493118712290555,0.0009582274271657522,0.0009582274271657522,0.0,0.03819146023679374,0.1175630909645273,0.0001079434790701572,0.35485997809333697
6,0.0006944790879659299,0.005316755143668304,0.0006944790879659299,0.0006944790879659299,0.0,0.02361178629821069,0.08993837823991954,5.0281376098300014e-05,0.3316098176940626
7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8,0.0007076570957692759,0.009737428442416228,0.0007076570957692759,0.0007076570957692759,0.0,0.03263393517710904,0.08268905671017247,6.374736761823244e-05,0.401300041804317
9,0.0001869232629791808,0.006156032282671353,0.0001869232629791808,0.0001869232629791808,0.0,0.021661949180375385,0.04364656724750462,4.896086085801037e-05,0.5088063110598264
10,0.00040460689061621566,0.06669689962013516,0.00040460689061621566,0.00040460689061621566,0.0,0.025273633522126592,0.0414680600067541,6.074741565122788e-05,0.3222292857682772
11,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12,0.00038115670834505634,0.14271533063100336,0.00038115670834505634,0.00038115670834505634,0.0,0.02347153572870259,0.046846483584762635,7.052472161530864e-05,0.39977917226370474
13,0.0002491207679762155,0.00488945510459364,0.0002491207679762155,0.0002491207679762155,0.0,0.025162162515315833,0.07593328390464404,1.3838079628094229e-05,0.47190339061285846
14,0.0005929611605558354,0.07447530090252096,0.0005929611605558354,0.0005929611605558354,0.0,0.03371885071750795,0.08798878343109978,5.683117245181109e-05,0.3887602354003039
15,0.0006151228903335461,0.0036426286763967825,0.0006151228903335461,0.0006151228903335461,0.0,0.033589363019819685,0.09252133622688408,5.483872777262467e-05,0.3930721718023593
16,0.0006264785686924631,0.004964770450119625,0.0006264785686924631,0.0006264785686924631,0.0,0.027320421454907904,0.08101105060072011,5.530506370623721e-05,0.4307918239342118
17,0.000277173301626087,0.07416999825083853,0.000277173301626087,0.000277173301626087,0.0,0.023112091679661582,0.03485492945059334,5.942697595698649e-05,0.4476453141461248
18,1.0,0.0,1.0,1.0,1.0,0.010152823568969434,0.06698243156775792,1.0,1.0
19,0.0006371764088006186,0.0032837926111113904,0.0006371764088006186,0.0006371764088006186,0.0,0.03047815748351631,0.06314397444041267,4.851441116946178e-05,0.46694513507250657
