vertex_id,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,1.0,0.0,0.0,0.0,0.0,0.8633249657543098,0.0,0.0,0.0
1,0.999999888491491,0.0,0.0,0.0,0.0,1.0,0.1583124368041349,1.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.8633249657543098,0.0,0.0,0.0
3,9.429480389817989e-15,0.0,0.0,0.0,0.0,0.8633249657543098,0.1583124368041349,0.0,0.0
4,1.8858960779635978e-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,2.828844116945397e-14,0.0,0.0,0.0,0.0,0.8633249657543098,0.0,0.0,0.0
6,3.7717921559271955e-14,0.0,0.0,0.0,0.0,0.8633249657543098,0.0,0.0,0.0
7,4.714740194908995e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
