vertex_id,degree,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,0.3142857142857143,1.872873455738e-311,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,0.3142857142857143,6.55505709508224e-310,6.55505709508224e-310
1,0.3142857142857143,2.8583323e-317,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,2.27606149135e-312,0.3142857142857143,6.55505709508224e-310,6.55505709508224e-310
2,0.05714285714285714,2.8583323e-317,3.505737e-318,3.479744e-318,3.479744e-318,3.479744e-318,3.479744e-318,0.05714285714285714,1.00216647e-315,1.00216647e-315
3,0.11428571428571428,2.8583323e-317,3.505737e-318,3.479744e-318,3.479744e-318,3.479744e-318,3.479744e-318,0.11428571428571428,1.00216647e-315,1.00216647e-315
4,1.0,1.0,4.05242252e-315,4.05242252e-315,4.05242252e-315,4.05242252e-315,4.05242252e-315,1.0,1.0,1.0
5,0.08571428571428572,0.08571428571428572,3.536659653e-315,3.536659653e-315,3.536659653e-315,3.536659653e-315,3.536659653e-315,0.08571428571428572,0.08571428571428572,0.08571428571428572
6,0.42857142857142855,0.42857142857142855,4.27346375e-315,4.27346375e-315,4.27346375e-315,4.27346375e-315,4.27346375e-315,0.42857142857142855,0.42857142857142855,0.42857142857142855
7,0.05714285714285714,0.05714285714285714,4.12610293e-315,4.12610293e-315,4.12610293e-315,4.12610293e-315,4.12610293e-315,0.05714285714285714,0.05714285714285714,0.05714285714285714
8,0.34285714285714286,0.34285714285714286,3.610340063e-315,3.610340063e-315,3.610340063e-315,3.610340063e-315,3.610340063e-315,0.34285714285714286,0.34285714285714286,0.34285714285714286
9,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
10,0.02857142857142857,0.02857142857142857,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.02857142857142857,0.02857142857142857,0.02857142857142857
11,0.08571428571428572,0.08571428571428572,1.0,1.0,1.0,1.0,1.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
12,0.2,0.2,0.0625,0.0625,0.0625,0.0625,0.0625,0.2,0.2,0.2
13,0.05714285714285714,0.05714285714285714,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.05714285714285714,0.05714285714285714,0.05714285714285714
14,0.08571428571428572,0.08571428571428572,0.125,0.125,0.125,0.125,0.125,0.08571428571428572,0.08571428571428572,0.08571428571428572
15,0.05714285714285714,0.05714285714285714,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.05714285714285714,0.05714285714285714,0.05714285714285714
16,0.02857142857142857,0.02857142857142857,0.5,0.5,0.5,0.5,0.5,0.02857142857142857,0.02857142857142857,0.02857142857142857
17,0.08571428571428572,0.08571428571428572,0.5,0.5,0.5,0.5,0.5,0.08571428571428572,0.08571428571428572,0.08571428571428572
18,0.08571428571428572,0.08571428571428572,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08571428571428572,0.08571428571428572,0.08571428571428572
19,0.05714285714285714,0.05714285714285714,0.052083333333333336,0.052083333333333336,0.052083333333333336,0.052083333333333336,0.052083333333333336,0.05714285714285714,0.05714285714285714,0.05714285714285714
