vertex_id,degree,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,0.09345794392523364,1.6408152929e-313,0.0,0.0,0.0,0.0,0.09345794392523364,8.34989415673327e-310,0.0,0.009345794392523364
1,0.8878504672897196,1.6408152929e-313,0.0,0.0,0.0,0.0,0.8878504672897196,8.34989415673327e-310,0.0,0.009345794392523364
2,1.0,2.50887e-319,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009345794392523364
3,0.2336448598130841,2.50887e-319,0.0,0.0,0.0,0.0,0.2336448598130841,0.0,0.0,0.018691588785046728
4,0.19626168224299065,0.216270337922403,0.0,0.0,0.0,0.0,0.19626168224299065,0.25,0.0,0.009345794392523364
5,0.06542056074766354,0.14868585732165207,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.009345794392523364
6,0.24299065420560748,0.4295369211514393,0.0,0.0,0.0,0.0,0.24299065420560748,0.30952380952380953,0.0,0.009345794392523364
7,0.6074766355140186,0.7028785982478097,0.0,0.0,0.0,0.0,0.6074766355140186,0.7738095238095237,0.0,0.009345794392523364
8,0.2336448598130841,0.05406758448060075,0.0,0.0,0.0,0.0,0.2336448598130841,0.2976190476190476,0.0,0.009345794392523364
9,0.06542056074766354,0.08110137672090113,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.018691588785046728
10,0.018691588785046728,0.1702127659574468,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.009345794392523364
11,0.7850467289719626,0.1376720901126408,0.0,0.0,0.0,0.0,0.7850467289719626,1.0,0.0,0.009345794392523364
12,0.22429906542056074,0.12015018773466833,0.0,0.0,0.0,0.0,0.22429906542056074,0.2857142857142857,0.0,0.009345794392523364
13,0.037383177570093455,0.360450563204005,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
14,0.1308411214953271,0.8936170212765957,0.0,0.0,0.0,0.0,0.1308411214953271,0.16666666666666666,0.0,0.009345794392523364
15,0.38317757009345793,0.2127659574468085,0.0,0.0,0.0,0.0,0.38317757009345793,0.4880952380952381,0.0,0.009345794392523364
16,0.08411214953271028,0.2523153942428035,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
17,0.21495327102803738,0.18923654568210263,0.0,0.0,0.0,0.0,0.21495327102803738,0.27380952380952384,0.0,0.009345794392523364
18,0.056074766355140186,1.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.07142857142857142,0.0,0.009345794392523364
19,0.42990654205607476,0.7569461827284105,0.0,0.0,0.0,0.0,0.42990654205607476,0.5476190476190477,0.0,0.009345794392523364
20,0.2523364485981308,0.6277847309136421,0.0,0.0,0.0,0.0,0.2523364485981308,0.3214285714285714,0.0,0.009345794392523364
21,0.34579439252336447,0.013516896120150187,0.0,0.0,0.0,0.0,0.34579439252336447,0.44047619047619047,0.0,0.009345794392523364
22,0.009345794392523364,0.3364205256570713,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
23,0.2897196261682243,0.18172715894868585,0.0,0.0,0.0,0.0,0.2897196261682243,0.369047619047619,0.0,0.009345794392523364
24,0.09345794392523364,0.6758448060075094,0.0,0.0,0.0,0.0,0.09345794392523364,0.11904761904761904,0.0,0.018691588785046728
25,0.22429906542056074,0.08785982478097622,0.0,0.0,0.0,0.0,0.22429906542056074,0.2857142857142857,0.0,0.018691588785046728
26,0.11214953271028037,0.3964956195244055,0.0,0.0,0.0,0.0,0.11214953271028037,0.14285714285714285,0.0,0.009345794392523364
27,0.21495327102803738,0.13516896120150187,0.0,0.0,0.0,0.0,0.21495327102803738,0.27380952380952384,0.0,0.009345794392523364
28,0.037383177570093455,0.14868585732165207,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.018691588785046728
29,0.07476635514018691,0.12665832290362955,0.0,0.0,0.0,0.0,0.07476635514018691,0.09523809523809523,0.0,0.009345794392523364
30,0.205607476635514,0.3411764705882353,0.0,0.0,0.0,0.0,0.205607476635514,0.2619047619047619,0.0,0.009345794392523364
31,0.2616822429906542,0.03804755944931164,0.0,0.0,0.0,0.0,0.2616822429906542,0.3333333333333333,0.0,0.009345794392523364
32,0.028037383177570093,0.04130162703379224,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.018691588785046728
33,0.09345794392523364,0.05406758448060075,0.0,0.0,0.0,0.0,0.09345794392523364,0.11904761904761904,0.0,0.009345794392523364
34,0.009345794392523364,0.0460575719649562,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
35,0.06542056074766354,0.27033792240300375,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.028037383177570093
36,0.08411214953271028,0.1276595744680851,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
37,0.04672897196261682,0.028785982478097622,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
38,0.037383177570093455,0.09461827284105132,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.018691588785046728
39,0.07476635514018691,0.029036295369211516,0.0,0.0,0.0,0.0,0.07476635514018691,0.09523809523809523,0.0,0.009345794392523364
40,0.028037383177570093,0.012015018773466833,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
41,0.009345794392523364,0.06533166458072591,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
42,0.07476635514018691,0.19824780976220274,0.0,0.0,0.0,0.0,0.07476635514018691,0.09523809523809523,0.0,0.018691588785046728
43,0.29906542056074764,0.0037546933667083854,0.0,0.0,0.0,0.0,0.29906542056074764,0.38095238095238093,0.0,0.009345794392523364
44,0.018691588785046728,0.8110137672090113,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.018691588785046728
45,0.27102803738317754,0.1381727158948686,0.0,0.0,0.0,0.0,0.27102803738317754,0.34523809523809523,0.0,0.009345794392523364
46,0.205607476635514,0.31939924906132666,0.0,0.0,0.0,0.0,0.205607476635514,0.2619047619047619,0.0,0.009345794392523364
47,0.5327102803738317,0.2903629536921151,0.0,0.0,0.0,0.0,0.5327102803738317,0.6785714285714285,0.0,0.009345794392523364
48,0.17757009345794392,0.02753441802252816,0.0,0.0,0.0,0.0,0.17757009345794392,0.2261904761904762,0.0,0.009345794392523364
49,0.037383177570093455,0.14893617021276595,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.018691588785046728
50,0.056074766355140186,0.04130162703379224,0.0,0.0,0.0,0.0,0.056074766355140186,0.07142857142857142,0.0,0.037383177570093455
51,0.037383177570093455,0.2553191489361702,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
52,0.102803738317757,0.06608260325406759,0.0,0.0,0.0,0.0,0.102803738317757,0.13095238095238096,0.0,0.018691588785046728
53,0.09345794392523364,0.15219023779724655,0.0,0.0,0.0,0.0,0.09345794392523364,0.11904761904761904,0.0,0.009345794392523364
54,0.16822429906542055,0.04005006257822278,0.0,0.0,0.0,0.0,0.16822429906542055,0.21428571428571427,0.0,0.009345794392523364
55,0.14018691588785046,0.08135168961201501,0.0,0.0,0.0,0.0,0.14018691588785046,0.17857142857142855,0.0,0.009345794392523364
56,0.11214953271028037,0.16220275344180227,0.0,0.0,0.0,0.0,0.11214953271028037,0.14285714285714285,0.0,0.009345794392523364
57,0.04672897196261682,0.008010012515644555,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
58,0.009345794392523364,0.004005006257822278,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
59,0.009345794392523364,0.06608260325406759,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
60,0.028037383177570093,0.574468085106383,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
61,0.24299065420560748,0.18172715894868585,0.0,0.0,0.0,0.0,0.24299065420560748,0.30952380952380953,0.0,0.009345794392523364
62,0.09345794392523364,0.09612015018773466,0.0,0.0,0.0,0.0,0.09345794392523364,0.11904761904761904,0.0,0.009345794392523364
63,0.028037383177570093,0.012515644555694618,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.037383177570093455
64,0.08411214953271028,0.07259073842302878,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
65,0.08411214953271028,0.34843554443053815,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
66,0.21495327102803738,0.2523153942428035,0.0,0.0,0.0,0.0,0.21495327102803738,0.27380952380952384,0.0,0.009345794392523364
67,0.38317757009345793,0.024030037546933666,0.0,0.0,0.0,0.0,0.38317757009345793,0.4880952380952381,0.0,0.009345794392523364
68,0.028037383177570093,0.001501877346683354,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
69,0.009345794392523364,0.04355444305381727,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
70,0.018691588785046728,0.007509386733416771,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.009345794392523364
71,0.018691588785046728,0.0851063829787234,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.018691588785046728
72,0.028037383177570093,0.24030037546933666,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.028037383177570093
73,0.08411214953271028,0.03153942428035044,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
