vertex_id,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,1.0,0.0,1.0,1.0,1.0,0.3214816778035447,0.003163159375730114,1.0,1.0
1,1.0,0.0,1.0,1.0,1.0,0.02854666742876052,0.0002808796480420141,1.0,1.0
2,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
3,1.0,0.0,1.0,1.0,1.0,0.0038334788221280626,0.32379563108699516,1.0,1.0
4,1.0,0.0,1.0,1.0,1.0,0.6822503957964351,0.006712876513305977,1.0,1.0
5,1.0,0.0,1.0,1.0,1.0,0.30984084418934077,0.0030486215545080576,1.0,1.0
6,1.0,0.0,1.0,1.0,1.0,0.5732148340697477,0.00564004129014663,1.0,1.0
7,1.0,0.0,1.0,1.0,1.0,0.004225796666790882,0.35693284220993227,1.0,1.0
8,0.022766095492572264,0.024703647891994536,0.09244419378897036,0.09244419378897036,0.022766095492572264,0.6004786206136726,0.5662743432993563,0.009068883775328336,1.0
9,1.0,0.0,1.0,1.0,1.0,0.6097825358256524,0.005999842421937575,1.0,1.0
10,0.004039491353243897,0.35359804458294003,0.01904951904662559,0.01904951904662559,0.004039491353243897,0.05503533098266186,0.07910657806827909,0.0044782243504555225,0.37968579451571277
11,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
12,1.0,0.0,1.0,1.0,1.0,0.32255059002204206,0.0031736767427205095,1.0,1.0
13,1.0,0.0,1.0,1.0,1.0,0.004237314934778488,0.3579057366509053,1.0,1.0
14,1.0,0.0,1.0,1.0,1.0,0.06797309259951308,0.0,0.0,1.0
15,1.0,0.0,1.0,1.0,1.0,0.08106468983159963,0.0007976210051427146,1.0,1.0
16,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
17,0.010413785040979394,0.0157696115960123,0.07284302218755534,0.07284302218755534,0.010413785040979394,0.27064854997479043,0.3262861597308512,0.007428117008695628,0.36572500076547715
18,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
19,1.0,0.0,1.0,1.0,1.0,0.36935480185936664,0.0036341981086577975,1.0,1.0
20,1.0,0.0,1.0,1.0,1.0,0.004536599707946972,0.3831848893326572,1.0,1.0
21,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
22,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23,1.0,0.0,1.0,1.0,1.0,0.2572543726792827,0.0025312067171962384,1.0,1.0
24,1.0,0.0,1.0,1.0,1.0,0.07525826379698171,0.0,0.0,1.0
25,1.0,0.000421988833902978,1.0,1.0,1.0,0.026619483815193946,0.5226416028811539,1.0,1.0
26,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27,1.0,0.0,1.0,1.0,1.0,0.0046463058769002094,0.39245124569781564,1.0,1.0
28,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29,1.0,0.0003540334359430228,1.0,1.0,1.0,0.02648954329498676,0.5116661459653388,1.0,1.0
30,1.0,0.0,1.0,1.0,1.0,0.30703642488011407,0.0030210279905063422,1.0,1.0
31,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
33,0.002315092166046149,0.004335442852934357,0.009216482796828808,0.009216482796828808,0.002315092166046149,0.03410192439258903,0.593882497886105,0.0008987659501389982,0.5261623441702034
34,1.0,0.0,1.0,1.0,1.0,0.35040819083251035,0.0,0.0,1.0
35,1.0,0.0,1.0,1.0,1.0,0.004217539314640556,0.3562353837386482,1.0,1.0
36,1.0,0.0,1.0,1.0,1.0,0.08341109669416477,0.0008207080410029773,1.0,1.0
37,1.0,0.0,1.0,1.0,1.0,0.9716759192069802,0.009560625288163292,1.0,1.0
38,1.0,0.0,1.0,1.0,1.0,0.07868409954690644,0.0007741976282157517,1.0,1.0
39,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
40,1.0,0.0,1.0,1.0,1.0,0.004252423174552207,0.35918185666186486,1.0,1.0
41,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
42,1.0,0.0,1.0,1.0,1.0,0.6359860363569039,0.006257666917227511,1.0,1.0
43,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
44,0.009165668264269516,0.022590607111784657,0.07350209930055614,0.07350209930055614,0.009165668264269516,0.32072286463057864,0.3458109044957913,0.005842868745255452,0.4796074305571699
45,1.0,0.0,1.0,1.0,1.0,0.33468722695754216,0.00329309294390026,1.0,1.0
46,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
47,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
48,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
49,0.0004452781369213023,0.0016631197784254003,0.0005749111480102656,0.0005749111480102656,0.0004452781369213023,0.027595967524471295,0.5260139403485954,7.614739128784967e-05,0.6114363515654544
50,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
51,1.0,0.0,1.0,1.0,1.0,0.088019169000576,0.0008660483156145646,1.0,1.0
52,1.0,0.0,1.0,1.0,1.0,0.0043678202321832975,0.3689288936226255,1.0,1.0
53,1.0,0.0,1.0,1.0,1.0,0.08871241110538428,0.0008728693426738661,1.0,1.0
54,1.0,0.0,1.0,1.0,1.0,0.004245069590260938,0.3585607336212507,1.0,1.0
55,1.0,0.0,1.0,1.0,1.0,0.3222380268986264,0.0,0.0,1.0
56,1.0,0.0,1.0,1.0,1.0,0.9447812956769419,0.009296000632472353,1.0,1.0
57,1.0,0.0,1.0,1.0,1.0,0.02548876198858186,0.0002507919538468623,1.0,1.0
58,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
59,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
60,0.010692807482266684,0.026987372625567944,0.0930976126175746,0.0930976126175746,0.010692807482266684,0.29058548507408877,0.3362607703947297,0.007062474899904836,0.3716596949402411
61,1.0,0.0,1.0,1.0,1.0,0.4135012060393368,0.004068568485027377,1.0,1.0
62,1.0,0.0,1.0,1.0,1.0,0.004589367935484292,0.3876419674424475,1.0,1.0
63,1.0,0.0,1.0,1.0,1.0,0.0,0.33696540459692353,0.0,1.0
64,0.009440681275829492,0.29025360141790635,0.06986499766169378,0.06986499766169378,0.009440681275829492,0.2498367073481005,0.12705191151225953,0.007361991780680328,0.39431655004139476
65,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66,1.0,0.0,1.0,1.0,1.0,0.31499586163015914,0.0030993433931360615,1.0,1.0
67,1.0,0.0,1.0,1.0,1.0,0.338256086927634,0.0,0.0,1.0
68,1.0,0.0,1.0,1.0,1.0,0.004726109828394479,0.39919190391997955,1.0,1.0
69,0.010581308399969094,0.028729065424328567,0.07438879556036805,0.07438879556036805,0.010581308399969094,0.29308411791207156,0.3264486118283766,0.006028580478385056,0.4322536995136386
70,1.0,0.0,1.0,1.0,1.0,0.9369657332296193,0.009219100846467366,1.0,1.0
71,1.0,0.0,1.0,1.0,1.0,0.004646955597981713,0.3925061233399823,1.0,1.0
72,1.0,0.0,1.0,1.0,1.0,0.020434210271712272,0.00020105862818247137,1.0,1.0
73,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74,1.0,0.0,1.0,1.0,1.0,0.6255576563379952,0.0061550588016384125,1.0,1.0
75,1.0,0.0,1.0,1.0,1.0,0.010603078164721029,0.00010432702405975517,1.0,1.0
76,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77,0.03700506338038671,0.09018895427542978,0.20534225812882914,0.20534225812882914,0.03700506338038671,0.9238668628193961,0.621511400599367,0.022136322639974053,0.3729369715169277
78,0.0011377010926886737,0.006155355480010259,0.0019817299722221775,0.0019817299722221775,0.0011377010926886737,0.03598662590323194,0.6181443013080085,0.0008283669909094315,0.5201836999468704
79,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80,1.0,0.0,1.0,1.0,1.0,3.638722787968655e-170,3.409229302654476e-170,1.0,1.0
