vertex_id,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
0,0.0,0.0,0.0,0.0,0.0,6.442678630988431e-20,0.0,0.0,0.0
1,0.3679369250985545,1.0,0.3679369250985545,0.0,0.0,1.0,6.442678630988431e-20,0.0,0.0
2,0.5519053876478318,0.8512110726643599,0.5519053876478318,0.0,0.0,3.4303898468002574e-27,1.0,0.0,0.0
3,0.5519053876478318,0.13148788927335642,0.5519053876478318,0.0,0.0,6.748915482338743e-32,1.0,0.0,0.0
4,0.5519053876478318,0.4221453287197232,0.5519053876478318,0.0,0.0,2.838438600743233e-23,1.0,0.0,0.0
5,0.67455102934735,0.010380622837370242,0.67455102934735,0.0,0.0,1.9958986284165295e-83,2.838438600743233e-23,0.0,0.0
6,0.3679369250985545,0.36678200692041524,0.3679369250985545,0.0,0.0,2.101926584966746e-18,6.442678630988431e-20,0.0,0.0
7,0.3679369250985545,0.06228373702422145,0.3679369250985545,0.0,0.0,2.0907687510144193e-41,6.442678630988431e-20,0.0,0.0
8,0.5519053876478318,0.4429065743944637,0.5519053876478318,0.0,0.0,8.618518942411968e-38,2.101926584966746e-18,0.0,0.0
9,0.5519053876478318,0.0,0.5519053876478318,0.0,0.0,0.0,1.0,0.0,0.0
10,0.5519053876478318,0.06920415224913495,0.5519053876478318,0.0,0.0,1.1606098032714946e-57,2.0907687510144173e-41,0.0,0.0
11,0.5519053876478318,0.01384083044982699,0.5519053876478318,0.0,0.0,1.9958986284165295e-83,2.0907687510144173e-41,0.0,0.0
12,0.67455102934735,0.031141868512110725,0.67455102934735,0.0,0.0,1.1606098032714946e-57,2.838438600743233e-23,0.0,0.0
13,0.67455102934735,0.9134948096885814,0.67455102934735,0.0,0.0,3.924476603537429e-06,3.4303898468002574e-27,0.0,0.0
14,0.7665352606219885,0.1245674740484429,0.7665352606219885,0.0,0.0,6.477061361425698e-51,3.924476603537429e-06,0.0,0.0
15,0.7665352606219885,0.20761245674740486,0.7665352606219885,0.0,0.0,6.477061361425698e-51,3.924476603537429e-06,0.0,0.0
16,0.67455102934735,0.4152249134948097,0.67455102934735,0.0,0.0,1.2157765300566292e-15,8.618518942411968e-38,0.0,0.0
17,0.5519053876478318,0.006920415224913495,0.5519053876478318,0.0,0.0,1.9958986284165295e-83,2.101926584966746e-18,0.0,0.0
